"hg1";"hg2";"distance"
"A";"N";"1"
"A+152";"N";"2"
"A+152+16362";"N";"3"
"A+152+16362+16189";"N";"4"
"A+152+16362+200";"N";"4"
"A1";"A1";"0"
"A10";"N";"2"
"A11";"N";"3"
"A11+16234";"N";"4"
"A11a";"N3";"5"
"A11a*1";"N3";"6"
"A11a*2";"N3";"6"
"A11b";"N";"5"
"A11b*";"N";"6"
"A12";"N";"5"
"A12a";"A12a";"0"
"A13";"N";"5"
"A13*";"A13*";"0"
"A14";"N";"5"
"A14*";"A14*";"0"
"A15";"N";"4"
"A15a";"N";"5"
"A15a*";"N";"6"
"A15b";"N";"5"
"A15b*";"N";"6"
"A15c";"N";"5"
"A15c1";"A2k1";"7"
"A16";"N";"4"
"A17";"N";"4"
"A17*";"N";"5"
"A18";"N";"4"
"A19";"N";"4"
"A1a";"A1";"1"
"A1a1";"A1";"2"
"A2";"N";"4"
"A2*1";"N";"5"
"A2*2";"A2*2";"0"
"A2*3";"A2*3";"0"
"A2*4";"N";"5"
"A2+(64)";"N";"5"
"A2+(64)*1";"A2+(64)*1";"0"
"A2+(64)*2";"A2+(64)*2";"0"
"A2+(64)*3";"N";"6"
"A2+(64)+16129";"N";"6"
"A2+(64)+16129*";"A2+(64)+@153*1";"4"
"A2+(64)+16189";"N";"6"
"A2+(64)+@153";"N";"6"
"A2+(64)+@153*1";"A2+(64)+@153*1";"0"
"A2+(64)+@153*2";"N";"7"
"A2+(64)+@16111";"N";"6"
"A2+(64)+@16111*1";"N";"7"
"A2+(64)+@16111*2";"N";"7"
"A20";"N";"4"
"A21";"N";"4"
"A22";"A22";"0"
"A23";"N";"5"
"A24";"A2m";"5"
"A25";"N";"4"
"A26";"N";"4"
"A2a";"N";"5"
"A2a1";"N";"6"
"A2a2";"N";"6"
"A2a3";"N";"6"
"A2a4";"N9a5*";"11"
"A2a5";"N";"6"
"A2aa";"N";"6"
"A2ab";"N";"6"
"A2ac";"A2w*";"3"
"A2ac*";"A2w*";"4"
"A2ac1";"A2w*";"4"
"A2ad";"N";"6"
"A2ad1";"A2ad1";"0"
"A2ad2";"N";"7"
"A2ae";"N";"6"
"A2ae*1";"A2ae*1";"0"
"A2ae*2";"N";"7"
"A2af";"N9a5*";"11"
"A2af1";"N9a5*";"12"
"A2af1a";"N9a5*";"13"
"A2af1a1";"N9a5*";"14"
"A2af1a2";"A2af1a2";"0"
"A2af1b";"N9a5*";"13"
"A2af1b1";"A2af1b1";"0"
"A2af1b1a";"A2af1b1a";"0"
"A2af1b1b";"A2af1b1";"1"
"A2af1b2";"A2af1b2";"0"
"A2af2";"N9a5*";"12"
"A2ag";"N";"6"
"A2ah";"N";"6"
"A2ai";"N";"7"
"A2aj";"A1";"5"
"A2ak";"N";"6"
"A2ak*";"N";"7"
"A2al";"N";"6"
"A2am";"A2am";"0"
"A2an";"N";"6"
"A2an*";"A2an*";"0"
"A2ao";"N";"7"
"A2ao1";"A2ao1";"0"
"A2ap";"N";"7"
"A2aq";"A2aq";"0"
"A2b";"N";"5"
"A2b1";"N";"6"
"A2c";"N";"6"
"A2d";"N";"6"
"A2d*";"N";"7"
"A2d1";"N";"7"
"A2d1*";"N";"8"
"A2d1a";"N";"8"
"A2d2";"N";"7"
"A2d2*";"N";"8"
"A2e";"A2*3";"4"
"A2f";"A2f";"0"
"A2f1";"A2f1";"0"
"A2f1a";"A2f1";"1"
"A2f2";"A2f";"1"
"A2f3";"A2f3";"0"
"A2f3*";"A2f3";"1"
"A2g";"A2g";"0"
"A2g*";"A2g";"1"
"A2g1";"A2g";"1"
"A2h";"N";"6"
"A2h*";"N";"7"
"A2h1";"A2h1";"0"
"A2h1*";"A2h1";"1"
"A2i";"N";"6"
"A2j";"N";"6"
"A2j*";"A2k1";"4"
"A2j1";"N";"7"
"A2k";"N";"6"
"A2k*";"A2g";"3"
"A2k1";"A2k1";"0"
"A2k1a";"A2k1a";"0"
"A2l";"N";"7"
"A2m";"A2m";"0"
"A2m*1";"A2m";"1"
"A2m*2";"A2m";"1"
"A2m*3";"A2m*3";"0"
"A2n";"N";"7"
"A2n*1";"A2k1";"5"
"A2n*2";"N";"8"
"A2o";"N";"7"
"A2o*";"N";"8"
"A2p";"N";"7"
"A2p1";"N";"8"
"A2p2";"N";"8"
"A2q";"N";"6"
"A2q*";"A2q*";"0"
"A2q1";"A2q1";"0"
"A2q1*";"A2q1*";"0"
"A2r";"N";"5"
"A2r1";"N";"6"
"A2s";"A2s";"0"
"A2t";"A2t";"0"
"A2t*";"A2t";"1"
"A2u";"N";"6"
"A2u1";"N";"7"
"A2u1*";"N";"8"
"A2u2";"N";"7"
"A2v";"N";"6"
"A2v1";"N";"7"
"A2v1+152";"N";"8"
"A2v1+152*";"N";"9"
"A2v1a";"N";"9"
"A2v1b";"N";"9"
"A2v1b*";"N";"10"
"A2w";"N";"6"
"A2w*";"A2w*";"0"
"A2w1";"N";"7"
"A2w1*1";"N";"8"
"A2w1*1a";"N";"9"
"A2w1*2";"A2w1*2";"0"
"A2x";"A2k1";"3"
"A2x*";"A2x*";"0"
"A2y";"N";"6"
"A2z";"N";"5"
"A3";"N";"3"
"A3a";"N";"4"
"A5";"A5";"0"
"A5a";"A5";"1"
"A5a1";"A5";"2"
"A5a1a";"A5";"3"
"A5a1a1";"A5";"4"
"A5a1a1a";"A5";"5"
"A5a1a1b";"A5";"5"
"A5a1a2";"A5";"4"
"A5a1a2a";"A5";"5"
"A5a1b";"A5";"3"
"A5a2";"A5";"2"
"A5a3";"A5";"2"
"A5a3a";"A5";"3"
"A5a4";"A5";"2"
"A5a5";"A5";"2"
"A5b";"A5";"1"
"A5b*";"A5";"2"
"A5b1";"A5b1";"0"
"A5b1a";"A5b1";"1"
"A5b1a*";"A5b1a*";"0"
"A5b1b";"A5b1";"1"
"A5b1b*";"A5b1b*";"0"
"A5b1c";"A5b1";"1"
"A5b1c1";"A5b1";"2"
"A5c";"A5";"1"
"A5c1";"A5";"2"
"A6";"N";"4"
"A6a";"N";"5"
"A6b";"A6b";"0"
"A7";"A7";"0"
"A8";"N";"2"
"A8a";"N";"3"
"A8a1";"N";"4"
"A9";"N";"3"
"B2";"B2";"0"
"B2*1";"B2";"1"
"B2*2";"B2";"1"
"B2*3";"B2*3";"0"
"B2*4";"B2";"1"
"B2*5";"B2";"1"
"B2+16278";"B2";"1"
"B2a";"B2";"1"
"B2a1";"B2";"2"
"B2a1*";"B2";"3"
"B2a1a";"B2";"3"
"B2a1a1";"B2";"4"
"B2a1b";"B2a1b";"0"
"B2a2";"B2";"2"
"B2a2*1";"B2";"3"
"B2a2*2";"B2";"3"
"B2a2*3";"B2";"3"
"B2a3";"B2";"2"
"B2a4";"B2";"2"
"B2a4a";"B2";"3"
"B2a4a1";"B2";"4"
"B2a5";"B2";"2"
"B2b";"B2";"1"
"B2b*";"B2";"2"
"B2b+152";"B2";"2"
"B2b+152*";"B2b+152*";"0"
"B2b1";"B2b1";"0"
"B2b2";"B2";"2"
"B2b2a";"B2b2a";"0"
"B2b3";"B2b3";"0"
"B2b3a";"B2b3a";"0"
"B2b3a*1";"B2b3a";"1"
"B2b3a*2";"B2b3a*2";"0"
"B2b4";"B2";"2"
"B2c";"B2";"1"
"B2c1";"B2c1";"0"
"B2c1*1";"B2c1*1";"0"
"B2c1*2";"B2c1*1";"2"
"B2c1a";"B2c1";"1"
"B2c1b";"B2c1";"1"
"B2c1c";"B2c1";"1"
"B2c2";"B2";"2"
"B2c2*";"B2c2*";"0"
"B2c2a";"B2";"3"
"B2c2b";"B2c2b";"0"
"B2d";"B2d";"0"
"B2e";"B2";"1"
"B2f";"B2";"1"
"B2g";"B2";"1"
"B2g1";"B2";"2"
"B2g1*1";"B2";"3"
"B2g1*2";"B2g1*2";"0"
"B2g1*3";"B2g1*3";"0"
"B2g1*4";"B2";"3"
"B2g2";"B2";"2"
"B2h";"B2";"1"
"B2i";"B2";"1"
"B2i1";"B2";"2"
"B2i2";"B2*3";"3"
"B2i2a";"B2*3";"4"
"B2i2a1";"B2*3";"5"
"B2i2a1a";"B2*3";"6"
"B2i2a1b";"B2*3";"6"
"B2i2b";"B2*3";"4"
"B2i2b*";"B2*3";"5"
"B2i2b1";"B2*3";"5"
"B2j";"B2j";"0"
"B2k";"B2";"1"
"B2k*";"B2k*";"0"
"B2l";"B2";"1"
"B2l*";"B2c2*";"5"
"B2m";"B2";"1"
"B2n";"B2";"1"
"B2o";"B2";"1"
"B2o*1";"B2";"2"
"B2o*2";"B2";"2"
"B2o1";"B2";"2"
"B2o1a";"B2";"3"
"B2p";"B2p";"0"
"B2q";"B2";"1"
"B2q*";"B2";"2"
"B2r";"B2";"1"
"B2r*";"B2r*";"0"
"B2s";"B2";"1"
"B2t";"B2";"1"
"B2u";"B2";"1"
"B2v";"B2";"1"
"B2w";"B2w";"0"
"B2x";"B2x";"0"
"B2y";"B2";"1"
"B2y1";"B2";"2"
"B4";"HV";"5"
"B4'5";"HV";"4"
"B4+16261";"HV";"6"
"B4a";"HV";"7"
"B4a1";"HV";"8"
"B4a1+16311";"HV";"9"
"B4a1+16311*";"B4a1+16311*";"0"
"B4a1a";"HV";"9"
"B4a1a1";"HV";"10"
"B4a1a1*1";"B4a1a1*1";"0"
"B4a1a1*2";"R0a2n";"16"
"B4a1a1+151";"HV";"11"
"B4a1a1+152";"HV";"11"
"B4a1a1+16126";"HV";"11"
"B4a1a1a";"HV";"11"
"B4a1a1a*1";"B4a1a1a*1";"0"
"B4a1a1a*2";"B4a1a1a*2";"0"
"B4a1a1a*3";"B4a1a1a*3";"0"
"B4a1a1a+195";"HV";"12"
"B4a1a1a1";"HV";"12"
"B4a1a1a10";"HV";"12"
"B4a1a1a11";"HV";"12"
"B4a1a1a11a";"HV";"13"
"B4a1a1a11b";"HV";"13"
"B4a1a1a12";"HV";"12"
"B4a1a1a13";"B4a1a1a13";"0"
"B4a1a1a14";"HV";"12"
"B4a1a1a15";"HV";"12"
"B4a1a1a15*";"HV";"13"
"B4a1a1a16";"HV";"12"
"B4a1a1a17";"HV";"12"
"B4a1a1a18";"B4a1a1a18";"0"
"B4a1a1a19";"HV";"12"
"B4a1a1a1a";"HV";"13"
"B4a1a1a1a1";"HV";"14"
"B4a1a1a1a1*";"HV";"15"
"B4a1a1a1b";"B4a1a1a1b";"0"
"B4a1a1a1c";"B4a1a1a1c";"0"
"B4a1a1a1d";"B4a1a1a1d";"0"
"B4a1a1a2";"HV";"12"
"B4a1a1a2*";"HV";"13"
"B4a1a1a20";"HV";"12"
"B4a1a1a21";"HV";"12"
"B4a1a1a22";"B4a1a1a22";"0"
"B4a1a1a23";"HV";"13"
"B4a1a1a2a";"B4a1a1a2a";"0"
"B4a1a1a2b";"HV";"13"
"B4a1a1a3";"HV";"12"
"B4a1a1a4";"HV";"12"
"B4a1a1a5";"HV";"12"
"B4a1a1a6";"HV";"12"
"B4a1a1a7";"HV";"12"
"B4a1a1a8";"B4a1a1a8";"0"
"B4a1a1a9";"B4a1a1a9";"0"
"B4a1a1aa";"HV";"11"
"B4a1a1ab";"HV";"11"
"B4a1a1ac";"HV";"11"
"B4a1a1ad";"HV*";"11"
"B4a1a1ae";"HV";"11"
"B4a1a1af";"HV";"11"
"B4a1a1b";"HV";"11"
"B4a1a1c";"HV";"11"
"B4a1a1d";"HV";"11"
"B4a1a1e";"HV";"11"
"B4a1a1f";"HV";"11"
"B4a1a1g";"HV";"11"
"B4a1a1g*";"HV";"12"
"B4a1a1h";"B4a1a1h";"0"
"B4a1a1i";"HV";"11"
"B4a1a1j";"HV";"11"
"B4a1a1k";"HV";"11"
"B4a1a1k1";"B4a1a1k1";"0"
"B4a1a1m";"B4a1a1m";"0"
"B4a1a1m1";"B4a1a1m";"1"
"B4a1a1n";"HV";"11"
"B4a1a1n*";"HV";"12"
"B4a1a1o";"HV";"12"
"B4a1a1p";"HV";"11"
"B4a1a1q";"HV";"11"
"B4a1a1r";"HV";"12"
"B4a1a1s";"HV";"11"
"B4a1a1t";"HV";"11"
"B4a1a1u";"HV";"11"
"B4a1a1v";"HV";"11"
"B4a1a1w";"HV";"11"
"B4a1a1x";"R0a2*";"16"
"B4a1a1y";"HV";"11"
"B4a1a1z";"HV";"11"
"B4a1a2";"HV";"10"
"B4a1a3";"HV";"10"
"B4a1a3a";"HV";"11"
"B4a1a3a1";"HV";"12"
"B4a1a3a1*";"HV";"13"
"B4a1a3a1a";"HV";"13"
"B4a1a4";"B4a1a4";"0"
"B4a1a5";"HV";"10"
"B4a1a5a";"HV";"11"
"B4a1a6";"HV";"10"
"B4a1a6a";"HV";"11"
"B4a1a7";"HV";"10"
"B4a1b";"HV";"10"
"B4a1b1";"HV";"11"
"B4a1b1a";"HV";"12"
"B4a1c";"HV";"9"
"B4a1c*";"HV";"10"
"B4a1c+146";"HV";"10"
"B4a1c1";"HV";"10"
"B4a1c1a";"HV";"11"
"B4a1c1a1";"HV";"12"
"B4a1c2";"B4a1c2";"0"
"B4a1c3";"HV";"10"
"B4a1c3a";"B4a1c3a";"0"
"B4a1c3b";"HV";"11"
"B4a1c4";"HV";"11"
"B4a1c4*";"B4a1c4*";"0"
"B4a1c5";"B4a1c5";"0"
"B4a1d";"HV";"9"
"B4a1e";"HV";"10"
"B4a2";"HV";"8"
"B4a2a";"HV";"9"
"B4a2a1";"HV";"10"
"B4a2a2";"HV";"10"
"B4a2a3";"HV";"10"
"B4a2b";"HV";"9"
"B4a2b1";"HV";"10"
"B4a2b1a";"HV";"11"
"B4a3";"B4a3";"0"
"B4a4";"HV";"8"
"B4a4*";"HV";"9"
"B4a5";"B4a5";"0"
"B4b";"B4b";"0"
"B4b'd'e'j";"B4b'd'e'j";"0"
"B4b1";"B4b";"1"
"B4b1a";"B4b";"2"
"B4b1a+207";"B4b";"3"
"B4b1a1";"B4b1a1";"0"
"B4b1a1a";"B4b1a1";"1"
"B4b1a1b";"B4b1a1";"1"
"B4b1a1c";"B4b1a1";"1"
"B4b1a2";"B4b";"4"
"B4b1a2a";"B4b1a2a";"0"
"B4b1a2a*";"B4b1a2a";"1"
"B4b1a2b";"B4b";"5"
"B4b1a2b1";"B4b";"6"
"B4b1a2b2";"B4b1a2b2";"0"
"B4b1a2c";"B4b";"5"
"B4b1a2d";"B4b1a2d";"0"
"B4b1a2e";"B4b";"5"
"B4b1a2f";"B4b";"5"
"B4b1a2g";"B4b";"5"
"B4b1a2g1";"B4b";"6"
"B4b1a2h";"B4b";"5"
"B4b1a2i";"B4b";"5"
"B4b1a3";"B4b";"4"
"B4b1a3a";"B4b1a3a";"0"
"B4b1b";"B4b1b";"0"
"B4b1b'c";"B4b";"2"
"B4b1c";"B4b";"3"
"B4b1c1";"B4b1c1";"0"
"B4b1c2";"B4b";"4"
"B4c";"HV";"6"
"B4c1";"B4c1";"0"
"B4c1a";"B4c1";"2"
"B4c1a'b";"B4c1";"1"
"B4c1a1";"B4c1a1";"0"
"B4c1a1a";"B4c1a1";"1"
"B4c1a1a1";"B4c1a1";"2"
"B4c1a1a1a";"B4c1a1";"3"
"B4c1a1a2";"B4c1a1";"2"
"B4c1a1b";"B4c1a1";"1"
"B4c1a1c";"B4c1a1";"1"
"B4c1a2";"B4c1";"3"
"B4c1a2a";"B4c1";"4"
"B4c1b";"B4c1";"2"
"B4c1b+16335";"B4c1";"3"
